account_value,datadate,daily_return,Date
1218798.806767067,20170130,-0.012891746960960515,2017-01-30
1210935.546306541,20170131,-0.006451647652481518,2017-01-31
1218037.6317827941,20170201,0.005864957468558307,2017-02-01
1214797.2256177713,20170202,-0.002660349795826966,2017-02-02
1221028.4896047185,20170203,0.005129468404719395,2017-02-03
1219916.6454676408,20170206,-0.0009105800122957142,2017-02-06
1221126.323316115,20170207,0.0009916069700077745,2017-02-07
1219812.716686748,20170208,-0.0010757336110810423,2017-02-08
1227952.8627305059,20170209,0.006673275276116275,2017-02-09
1237343.0743050056,20170210,0.007647045631392846,2017-02-10
1252176.0090600243,20170213,0.011987730050818879,2017-02-13
1252065.7463813366,20170214,-8.80568529423309e-05,2017-02-14
1259410.050067332,20170215,0.005865749228602057,2017-02-15
1254798.8924665023,20170216,-0.003661363191903466,2017-02-16
1255761.027420707,20170217,0.0007667642679485276,2017-02-17
1260630.8525504216,20170221,0.003877987151517992,2017-02-21
1259535.795191274,20170222,-0.000868658225310126,2017-02-22
1255812.2583799865,20170223,-0.0029562770867676003,2017-02-23
1252646.6871880132,20170224,-0.002520736018341574,2017-02-24
1262536.852018097,20170227,0.007895414510124654,2017-02-27
1261865.75904757,20170228,-0.0005315432729383618,2017-02-28
1284536.6307514515,20170301,0.017966151741048098,2017-03-01
1269386.1656470862,20170302,-0.01179449829741508,2017-03-02
1270681.5164772118,20170303,0.0010204545040597424,2017-03-03
1269585.4133658663,20170306,-0.0008626104158533376,2017-03-06
1266766.635176392,20170307,-0.002220235172678331,2017-03-07
1251787.4572733473,20170308,-0.011824733527939002,2017-03-08
1249135.678428353,20170309,-0.00211839384520629,2017-03-09
1253946.8364593226,20170310,0.003851589634380481,2017-03-10
1251940.9672015696,20170313,-0.001599644577769177,2017-03-13
1243857.3401059788,20170314,-0.006456875609446633,2017-03-14
1256063.2269403604,20170315,0.009812931467962027,2017-03-15
1251883.9252991294,20170316,-0.0033273019634618706,2017-03-16
1251153.7263286116,20170317,-0.0005832800915175351,2017-03-17
1258655.1496303987,20170320,0.005995604811728006,2017-03-20
1245275.9415027823,20170321,-0.010629764738614211,2017-03-21
1245845.3880233555,20170322,0.0004572854108833013,2017-03-22
1243476.749329587,20170323,-0.0019012300535354854,2017-03-23
1240371.8876092138,20170324,-0.0024969198033233386,2017-03-24
1235035.1933190422,20170327,-0.004302495359240988,2017-03-27
1246559.1956579378,20170328,0.009330910083562793,2017-03-28
1247889.9528220543,20170329,0.0010675443001437745,2017-03-29
1254442.7671776677,20170330,0.005251115565755304,2017-03-30
1244449.1511905768,20170331,-0.007966577869132463,2017-03-31
1243507.022556613,20170403,-0.0007570647889169058,2017-04-03
1243507.022556613,20170404,0.0,2017-04-04
1250505.72530155,20170405,0.005628197201932972,2017-04-05
1256848.113121826,20170406,0.005071858282573283,2017-04-06
1254096.843437964,20170407,-0.0021890232042661717,2017-04-07
1259093.3421937993,20170410,0.003984141082867154,2017-04-10
1257445.6670338523,20170411,-0.0013086203419010456,2017-04-11
1252399.281241973,20170412,-0.004013203849819735,2017-04-12
1235854.527465789,20170413,-0.013210446559644096,2017-04-13
1243992.3552057282,20170417,0.006584778029357752,2017-04-17
1241639.3044571294,20170418,-0.0018915315184631076,2017-04-18
1231564.3579453444,20170419,-0.00811422969264819,2017-04-19
1240565.9942225812,20170420,0.007309107493378875,2017-04-20
1237363.6246839177,20170421,-0.002581377817526098,2017-04-21
1255052.1240129843,20170424,0.014295312207504907,2017-04-24
1280035.0505071343,20170425,0.019905887585184967,2017-04-25
1274892.1532991535,20170426,-0.004017778424069918,2017-04-26
1269367.242120017,20170427,-0.004333630232831176,2017-04-27
1270606.411795717,20170428,0.0009762105359125695,2017-04-28
1268867.8142995837,20170501,-0.001368321047330645,2017-05-01
1267598.9795751679,20170502,-0.000999973921725017,2017-05-02
1267638.2890742796,20170503,3.101098986757478e-05,2017-05-03
1267760.011373674,20170504,9.602289583998669e-05,2017-05-04
1270229.7874186614,20170505,0.0019481416220972214,2017-05-05
1271079.1806659962,20170508,0.0006686925907011254,2017-05-08
1270547.086224587,20170509,-0.0004186162825280393,2017-05-09
1270547.086224587,20170510,0.0,2017-05-10
1270547.086224587,20170511,0.0,2017-05-11
1270604.4521578068,20170512,4.51505763476856e-05,2017-05-12
1270484.3016527707,20170515,-9.45616905655422e-05,2017-05-15
1270484.3016527707,20170516,0.0,2017-05-16
1270484.3016527707,20170517,0.0,2017-05-17
1270484.3016527707,20170518,0.0,2017-05-18
1270484.3016527707,20170519,0.0,2017-05-19
1270484.3016527707,20170522,0.0,2017-05-22
1270315.6319946684,20170523,-0.00013276012767959866,2017-05-23
1271027.4552152636,20170524,0.0005603514612171345,2017-05-24
1270782.398517005,20170525,-0.00019280204943894486,2017-05-25
1270582.3718576771,20170526,-0.00015740433575506252,2017-05-26
1270259.0476492129,20170530,-0.00025446930134209733,2017-05-30
1270271.518460747,20170531,9.817534114331394e-06,2017-05-31
