account_value,datadate,daily_return,Date
1114604.6156010428,20170627,-0.0020003073498334745,2017-06-27
1120272.9277569721,20170628,0.005085491372088802,2017-06-28
1113979.0381429007,20170629,-0.00561817523045316,2017-06-29
1116493.524457808,20170630,0.0022572115172823093,2017-06-30
1121220.6781532646,20170703,0.004233928448221125,2017-07-03
1121220.6781532646,20170705,0.0,2017-07-05
1110418.200631252,20170706,-0.009634568584486858,2017-07-06
1114489.867297672,20170707,0.0036667866792037263,2017-07-07
1110525.4786216111,20170710,-0.003557132991862333,2017-07-10
1108562.6164270365,20170711,-0.001767507573991911,2017-07-11
1114303.8705600193,20170712,0.005179007525517365,2017-07-12
1115711.8814697468,20170713,0.0012635789454988888,2017-07-13
1120266.785318802,20170714,0.004082509046201999,2017-07-14
1119354.6422737162,20170717,-0.0008142194850723206,2017-07-17
1118383.911980235,20170718,-0.0008672231809476738,2017-07-18
1124645.7367734385,20170719,0.005598993982411704,2017-07-19
1122502.9779415105,20170720,-0.0019052744894365592,2017-07-20
1120979.1820062287,20170721,-0.0013574983454174294,2017-07-21
1118347.6242230923,20170724,-0.0023475527693802567,2017-07-24
1122968.6593971462,20170725,0.00413202037896232,2017-07-25
1130206.880901317,20170726,0.006445613102022518,2017-07-26
1134804.4479759128,20170727,0.004067898676151538,2017-07-27
1133669.6612349276,20170728,-0.00099998439643878,2017-07-28
1133691.2542497257,20170731,1.9047007727701626e-05,2017-07-31
1134309.1568886691,20170801,0.0005450360815848487,2017-08-01
1134457.0945540294,20170802,0.0001304209390022848,2017-08-02
1134639.8308817537,20170803,0.00016107821847244352,2017-08-03
1134670.7278115198,20170804,2.7230605629258164e-05,2017-08-04
1135984.9735411785,20170807,0.0011582617736103362,2017-08-07
1135509.3632130106,20170808,-0.0004186766015797927,2017-08-08
1133075.378534717,20170809,-0.002143517928735017,2017-08-09
1127276.2121052602,20170810,-0.005118076466330224,2017-08-10
1128987.2138393929,20170811,0.0015178194268263834,2017-08-11
1134482.5852749154,20170814,0.00486752318198036,2017-08-14
1137357.3888523902,20170815,0.002534021777670592,2017-08-15
1137108.1655860636,20170816,-0.00021912484920683095,2017-08-16
1126897.5001865495,20170817,-0.008979502309924614,2017-08-17
1124166.3188335628,20170818,-0.002423628903724273,2017-08-18
1126896.3767800112,20170821,0.0024285178275766928,2017-08-21
1137507.5650938044,20170822,0.009416294641139578,2017-08-22
1130859.0639455924,20170823,-0.005844797302656857,2017-08-23
1130556.0626731736,20170824,-0.0002679390227121603,2017-08-24
1129588.509782354,20170825,-0.0008558203549249299,2017-08-25
1130876.1203860843,20170828,0.0011398935033237745,2017-08-28
1135801.313848841,20170829,0.004355201576875745,2017-08-29
1135704.504408825,20170830,-8.523448497166353e-05,2017-08-30
1139026.1165284072,20170831,0.0029247151056350784,2017-08-31
1141220.834980563,20170901,0.001926837690820582,2017-09-01
1133608.0973140248,20170905,-0.00667069635708839,2017-09-05
1134652.3026460914,20170906,0.0009211343272341743,2017-09-06
1136333.3727785521,20170907,0.0014815729263848443,2017-09-07
1137159.0675680295,20170908,0.0007266307663378324,2017-09-08
1151570.141140658,20170911,0.012672873992420897,2017-09-11
1153113.8929471972,20170912,0.001340562551413571,2017-09-12
1156493.1111312918,20170913,0.0029305155412340245,2017-09-13
1159664.8366358618,20170914,0.00274253730873264,2017-09-14
1163195.1443112926,20170915,0.003044248272347394,2017-09-15
1167871.2647406405,20170918,0.004020065293615538,2017-09-18
1165196.6599958471,20170919,-0.0022901537400077387,2017-09-19
1169800.1993448294,20170920,0.003950868988071621,2017-09-20
1170294.7215027628,20170921,0.0004227407023953411,2017-09-21
1168169.9571608277,20170922,-0.0018155805566709704,2017-09-22
1160809.5880849722,20170925,-0.006300769019727648,2017-09-25
1159364.392149713,20170926,-0.0012449896607449329,2017-09-26
1166531.7389629078,20170927,0.006182134678041296,2017-09-27
1170550.6290700224,20170928,0.00344516138985429,2017-09-28
1173218.5484323446,20170929,0.0022792003148481843,2017-09-29
1183479.232833124,20171002,0.008745757058213677,2017-10-02
1183479.232833124,20171003,0.0,2017-10-03
1187637.7315300836,20171004,0.003513791016851675,2017-10-04
1194348.3908319215,20171005,0.005650426155787702,2017-10-05
1195663.9001514942,20171006,0.0011014452145376996,2017-10-06
1191941.084247821,20171009,-0.0031135973104159387,2017-10-09
1193423.3340406248,20171010,0.0012435596124611425,2017-10-10
1195726.176368382,20171011,0.0019296106101431842,2017-10-11
1190994.893031448,20171012,-0.003956828436510351,2017-10-12
1189063.9854663585,20171013,-0.0016212559570046858,2017-10-13
1190545.2795221563,20171016,0.0012457647981130027,2017-10-16
1188099.08595285,20171017,-0.0020546833550825205,2017-10-17
1197244.3202938105,20171018,0.007697366700375907,2017-10-18
1193478.7756257826,20171019,-0.003145176472504674,2017-10-19
1212766.9456612968,20171020,0.01616130125598647,2017-10-20
1205937.7798308374,20171023,-0.005631061973523366,2017-10-23
1218681.9952093242,20171024,0.010567887988611302,2017-10-24
